Date,Open,High,Low,Close,Adj Close,Volume
2022-11-14,2013.050049,2021.900024,1995.250000,1999.800049,1995.300415,1175155
2022-11-15,2003.000000,2017.000000,1978.099976,1996.550049,1992.057739,1450841
2022-11-16,1986.000000,2009.849976,1985.050049,2003.599976,1999.091797,1195832
2022-11-17,2002.000000,2059.000000,2001.099976,2029.550049,2024.983521,3786182
2022-11-18,2039.000000,2050.949951,2006.849976,2024.449951,2019.894897,1248459
2022-11-21,2019.000000,2033.000000,2007.000000,2011.449951,2006.924194,714687
2022-11-22,2021.550049,2033.150024,2019.599976,2029.800049,2025.232910,1337869
2022-11-23,2038.949951,2044.000000,2018.000000,2025.000000,2020.443726,1046988
2022-11-24,2030.500000,2060.000000,2028.400024,2052.199951,2047.582520,1611889
2022-11-25,2061.000000,2095.800049,2058.449951,2062.750000,2058.108887,2652761
2022-11-28,2064.350098,2072.000000,2052.000000,2064.449951,2059.804932,1105372
2022-11-29,2070.000000,2072.000000,2038.599976,2050.550049,2045.936279,1413764
2022-11-30,2053.000000,2086.000000,2045.000000,2074.850098,2070.181641,2104550
2022-12-01,2085.250000,2110.000000,2079.449951,2104.250000,2099.515381,2614357
2022-12-02,2096.100098,2098.899902,2069.149902,2085.500000,2080.807617,1957264
2022-12-05,2095.949951,2096.800049,2068.850098,2085.600098,2080.907471,1767537
2022-12-06,2081.000000,2100.000000,2067.000000,2093.500000,2088.789551,1530731
2022-12-07,2096.300049,2144.000000,2096.300049,2124.000000,2119.220947,3438327
2022-12-08,2120.000000,2175.000000,2120.000000,2167.699951,2162.822510,3743754
2022-12-09,2168.000000,2194.350098,2137.500000,2154.050049,2149.203369,2573609
2022-12-12,2148.899902,2169.000000,2134.550049,2163.699951,2158.831543,1536090
2022-12-13,2170.000000,2175.699951,2152.500000,2172.899902,2168.010742,1233124
2022-12-14,2176.949951,2210.000000,2175.050049,2195.449951,2190.510254,1516631
2022-12-15,2196.699951,2209.000000,2173.600098,2177.550049,2172.650635,1323412
2022-12-16,2161.000000,2211.600098,2161.000000,2175.000000,2170.106201,2822390
2022-12-19,2171.000000,2187.449951,2155.050049,2184.000000,2179.085938,1592779
2022-12-20,2179.899902,2179.899902,2138.000000,2163.250000,2158.382568,1747181
2022-12-21,2153.100098,2174.949951,2142.850098,2146.300049,2141.470947,1979681
2022-12-22,2144.000000,2148.350098,2096.899902,2109.949951,2105.202637,1993744
2022-12-23,2094.500000,2104.149902,2050.100098,2062.750000,2058.108887,2026125
2022-12-26,2052.750000,2108.000000,2051.000000,2091.050049,2086.345215,1154610
2022-12-27,2101.550049,2128.000000,2085.000000,2124.100098,2119.320801,1059351
2022-12-28,2129.000000,2136.000000,2113.649902,2121.100098,2116.327637,1153883
