Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,10135.000000,10238.099609,10079.650391,10144.099609,9305.332031,20798
2018-11-14,10156.000000,10440.049805,10156.000000,10394.349609,9534.890625,89492
2018-11-15,10394.400391,10517.099609,10315.099609,10463.799805,9598.596680,93404
2018-11-16,10500.000000,10735.000000,10475.650391,10687.250000,9803.570313,114490
2018-11-19,10786.000000,10798.900391,10138.549805,10342.650391,9487.466797,143391
2018-11-20,10384.000000,10508.799805,10172.000000,10254.650391,9406.741211,52173
2018-11-21,10300.000000,10349.000000,10181.150391,10238.299805,9391.743164,41562
2018-11-22,10306.900391,10448.700195,10220.099609,10303.250000,9451.322266,50964
2018-11-26,10325.000000,10490.000000,10325.000000,10453.250000,9588.917969,46014
2018-11-27,10450.000000,10563.099609,10370.000000,10518.400391,9648.683594,38216
2018-11-28,10580.000000,10739.000000,10543.450195,10698.700195,9814.076172,88968
2018-11-29,10777.000000,10777.000000,10387.000000,10606.450195,9729.452148,178126
2018-11-30,10700.000000,10890.400391,10594.650391,10764.849609,9874.753906,71175
2018-12-03,10819.200195,10868.950195,10645.000000,10745.650391,9857.144531,65561
2018-12-04,10725.200195,10783.099609,10556.000000,10589.000000,9713.446289,51632
2018-12-05,10550.000000,10589.000000,10440.000000,10488.450195,9621.208984,85798
2018-12-06,10448.200195,10448.200195,10232.000000,10309.349609,9456.917969,43562
2018-12-07,10330.000000,10539.950195,10330.000000,10404.599609,9544.291016,57802
2018-12-10,10300.000000,10438.900391,10275.049805,10398.900391,9539.064453,94778
2018-12-11,10357.000000,10799.000000,10322.299805,10634.549805,9755.230469,54766
2018-12-12,10635.200195,10895.000000,10583.950195,10844.750000,9995.041992,90657
2018-12-13,10950.000000,11198.349609,10890.000000,10996.549805,10134.948242,76137
2018-12-14,11034.000000,11174.849609,10918.400391,10985.900391,10125.133789,62728
2018-12-17,11005.000000,11312.950195,11004.950195,11170.599609,10295.361328,98550
2018-12-18,11173.000000,11300.000000,11023.599609,11094.000000,10224.762695,67019
2018-12-19,11199.900391,11230.000000,11112.049805,11174.299805,10298.771484,136306
2018-12-20,11150.049805,11425.000000,11150.049805,11232.549805,10352.457031,57925
2018-12-21,11264.700195,11323.750000,10958.500000,11010.400391,10147.713867,66291
2018-12-24,11056.000000,11222.000000,10835.549805,10923.349609,10067.485352,34191
2018-12-26,10965.000000,10987.000000,10745.000000,10770.049805,9926.194336,37172
2018-12-27,10849.000000,10969.000000,10800.099609,10942.849609,10085.456055,52311
2018-12-28,10994.000000,11396.650391,10931.099609,11258.599609,10376.465820,56636
2018-12-31,11300.000000,11358.000000,11025.000000,11084.849609,10216.329102,46430
2019-01-01,11150.000000,11170.400391,10989.950195,11015.049805,10151.998047,31709
2019-01-02,10980.500000,11160.000000,10907.049805,11035.400391,10170.754883,28167
2019-01-03,11111.000000,11499.000000,10999.900391,11207.150391,10329.047852,169291
2019-01-04,11139.000000,11198.900391,10655.549805,10851.200195,10000.986328,206163
2019-01-07,10875.000000,10939.650391,10700.000000,10786.099609,9940.987305,85959
2019-01-08,10800.000000,11240.000000,10690.000000,11005.400391,10143.105469,134341
2019-01-09,11099.849609,11298.400391,11058.400391,11252.250000,10370.614258,98483
2019-01-10,11320.000000,11447.799805,11139.599609,11416.599609,10522.085938,76915
2019-01-11,11400.150391,11458.000000,11151.000000,11273.000000,10389.738281,57253
2019-01-14,11300.000000,11385.700195,11189.950195,11228.650391,10348.863281,51811
2019-01-15,11296.000000,11340.000000,11200.000000,11282.650391,10398.632813,49470
2019-01-16,11261.049805,11291.750000,10980.000000,11055.900391,10189.646484,136679
2019-01-17,11200.000000,11232.950195,11122.000000,11165.700195,10290.845703,72737
2019-01-18,11200.000000,11326.450195,11181.000000,11248.400391,10367.065430,76762
2019-01-21,11296.000000,11308.950195,11150.099609,11255.250000,10373.376953,19108
2019-01-22,11290.000000,11350.000000,11200.000000,11236.549805,10356.143555,39958
2019-01-23,11255.000000,11348.000000,11240.000000,11315.900391,10429.276367,51210
2019-01-24,11315.900391,11460.000000,11306.049805,11433.400391,10537.571289,104618
2019-01-25,11460.000000,11517.000000,11300.000000,11365.599609,10475.082031,59928
2019-01-28,11365.599609,11420.000000,11155.000000,11360.599609,10470.471680,103963
2019-01-29,11380.000000,11440.000000,11293.900391,11399.099609,10505.957031,70632
2019-01-30,11420.000000,11439.750000,11280.000000,11396.650391,10503.700195,39290
2019-01-31,11420.000000,11538.950195,11373.049805,11497.849609,10596.967773,95373
2019-02-01,11498.049805,11622.000000,11430.150391,11556.549805,10651.072266,61906
2019-02-04,11515.000000,11642.150391,11500.000000,11533.750000,10630.057617,34434
2019-02-05,11534.950195,11654.000000,11510.099609,11607.450195,10697.984375,36727
2019-02-06,11654.000000,11654.000000,11469.700195,11617.400391,10707.153320,27885
2019-02-07,11615.000000,11749.000000,11540.000000,11715.700195,10797.752930,36168
2019-02-08,11707.950195,11751.000000,11111.000000,11242.700195,10361.813477,114697
2019-02-11,11300.000000,11300.000000,10765.450195,10843.500000,9993.889648,122841
2019-02-12,10835.000000,10850.000000,10615.700195,10783.799805,9938.868164,97576
2019-02-14,10541.000000,10778.950195,10310.000000,10628.799805,9796.011719,124563
2019-02-15,10450.000000,10740.150391,10251.000000,10535.450195,9709.976563,414813
2019-02-18,10549.000000,10579.950195,10176.250000,10349.450195,9538.550781,87235
2019-02-19,10350.049805,10729.049805,10350.049805,10515.400391,9691.498047,88601
2019-02-20,10531.500000,10638.849609,10399.250000,10521.799805,9697.395508,62379
