Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,5.950000,6.200000,5.900000,6.000000,6.000000,24613611
2018-11-14,6.050000,6.050000,5.750000,5.800000,5.800000,24296915
2018-11-15,5.800000,5.850000,5.550000,5.700000,5.700000,19921553
2018-11-16,5.650000,5.750000,5.600000,5.650000,5.650000,15832205
2018-11-19,5.700000,5.700000,5.350000,5.400000,5.400000,41516329
2018-11-20,5.450000,5.550000,5.300000,5.400000,5.400000,33382689
2018-11-21,5.450000,5.650000,5.400000,5.550000,5.550000,28825375
2018-11-22,5.550000,5.700000,5.450000,5.550000,5.550000,31027043
2018-11-26,5.550000,5.550000,5.250000,5.400000,5.400000,28080791
2018-11-27,5.500000,5.700000,5.400000,5.600000,5.600000,40137160
2018-11-28,5.650000,5.650000,5.400000,5.450000,5.450000,20812534
2018-11-29,5.500000,5.500000,4.950000,5.100000,5.100000,109333259
2018-11-30,5.150000,5.200000,5.100000,5.150000,5.150000,19973226
2018-12-03,5.200000,5.700000,5.150000,5.550000,5.550000,56978432
2018-12-04,5.500000,5.700000,5.400000,5.450000,5.450000,25220840
2018-12-05,5.450000,5.450000,5.200000,5.250000,5.250000,23221901
2018-12-06,5.200000,5.250000,5.100000,5.200000,5.200000,17241487
2018-12-07,5.200000,5.300000,5.000000,5.150000,5.150000,22352795
2018-12-10,5.100000,5.200000,5.000000,5.100000,5.100000,14738118
2018-12-11,5.050000,5.400000,5.000000,5.300000,5.300000,20414440
2018-12-12,5.250000,5.350000,5.200000,5.300000,5.300000,14835886
2018-12-13,5.350000,5.400000,5.200000,5.250000,5.250000,21255099
2018-12-14,5.300000,5.400000,5.250000,5.300000,5.300000,20891407
2018-12-17,5.300000,5.400000,5.250000,5.300000,5.300000,11774554
2018-12-18,5.300000,5.500000,5.250000,5.350000,5.350000,17508132
2018-12-19,5.350000,5.500000,5.350000,5.450000,5.450000,26541602
2018-12-20,5.400000,5.550000,5.350000,5.500000,5.500000,29154873
2018-12-21,5.450000,5.650000,5.450000,5.500000,5.500000,24299900
2018-12-24,5.500000,5.550000,5.450000,5.500000,5.500000,17164683
2018-12-26,5.500000,5.550000,5.250000,5.450000,5.450000,20696414
2018-12-27,5.500000,5.500000,5.400000,5.450000,5.450000,23710659
2018-12-28,5.450000,5.500000,5.400000,5.450000,5.450000,10142569
2018-12-31,5.400000,5.450000,5.400000,5.400000,5.400000,6991627
2019-01-01,5.450000,5.500000,5.350000,5.450000,5.450000,9806032
2019-01-02,5.450000,5.450000,5.300000,5.350000,5.350000,13545713
2019-01-03,5.400000,5.400000,5.300000,5.300000,5.300000,9656839
2019-01-04,5.350000,5.500000,5.150000,5.450000,5.450000,34650602
2019-01-07,5.500000,5.550000,5.300000,5.350000,5.350000,23677578
2019-01-08,5.350000,5.400000,5.300000,5.350000,5.350000,13516880
2019-01-09,5.400000,5.400000,5.200000,5.350000,5.350000,15578959
2019-01-10,5.350000,5.500000,5.300000,5.450000,5.450000,16730278
2019-01-11,5.450000,5.450000,5.300000,5.350000,5.350000,16471318
2019-01-14,5.350000,5.350000,5.250000,5.300000,5.300000,13049474
2019-01-15,5.300000,5.400000,5.200000,5.300000,5.300000,14019108
2019-01-16,5.300000,5.400000,5.250000,5.300000,5.300000,17125160
2019-01-17,5.350000,5.350000,5.250000,5.300000,5.300000,19148504
2019-01-18,5.300000,5.350000,5.200000,5.250000,5.250000,17363199
2019-01-21,5.250000,5.300000,5.200000,5.250000,5.250000,13015541
2019-01-22,5.250000,5.250000,5.150000,5.200000,5.200000,17568765
2019-01-23,5.200000,5.250000,5.100000,5.150000,5.150000,11668259
2019-01-24,5.150000,5.200000,5.100000,5.150000,5.150000,6256463
2019-01-25,5.150000,5.200000,5.000000,5.050000,5.050000,12922568
2019-01-28,5.100000,5.100000,4.800000,4.950000,4.950000,22110865
2019-01-29,4.950000,5.000000,4.900000,4.950000,4.950000,6796335
2019-01-30,4.950000,5.050000,4.900000,5.000000,5.000000,13420926
2019-01-31,5.000000,5.000000,4.550000,4.700000,4.700000,42599703
2019-02-01,4.800000,5.050000,4.750000,4.900000,4.900000,34746141
2019-02-04,4.900000,4.900000,4.650000,4.750000,4.750000,22092957
2019-02-05,4.750000,4.750000,2.750000,3.600000,3.600000,184031592
2019-02-06,3.700000,4.050000,3.400000,3.850000,3.850000,69167359
2019-02-07,3.900000,4.100000,3.850000,3.950000,3.950000,27799260
2019-02-08,3.900000,3.900000,3.600000,3.700000,3.700000,32899222
2019-02-11,3.800000,3.800000,3.200000,3.450000,3.450000,29913592
2019-02-12,3.450000,3.650000,3.300000,3.450000,3.450000,29672745
